id,screen/route,file:line,kind,core_path,hebrew_source
he-0043,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,רמלה
he-0044,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,לוד
he-0045,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,פתח תקווה
he-0046,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,ראשון לציון
he-0047,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,הרצליה
he-0048,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:7,string,no,כפר סבא
he-0049,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,רעננה
he-0050,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,מודיעין
he-0051,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,בית שמש
he-0052,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,קריית גת
he-0053,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,דימונה
he-0054,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:8,string,no,אופקים
he-0055,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,קריית מלאכי
he-0056,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,יבנה
he-0057,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,גדרה
he-0058,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,נס ציונה
he-0059,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,חולון
he-0060,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:9,string,no,בת ים
he-0061,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:10,string,no,גבעתיים
he-0062,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:10,string,no,רמת גן
he-0063,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:10,string,no,בני ברק
he-0064,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:10,string,no,קריית שמונה
he-0065,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:23,string,no,יש להזין שם סניף
he-0066,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:28,string,no,יש להזין שם עיר חדשה
he-0067,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:35,string,no,יש לבחור עיר
he-0068,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:56,jsx_text,no,כל הסניפים (
he-0069,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:70,template,no,למחוק את ${b.name}?
he-0070,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:79,jsx_text,no,עדיין אין סניפים.
he-0071,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:85,jsx_text,no,הוסף סניף
he-0072,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:87,string,no,שם הסניף
he-0073,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:91,string,no,לדוגמה: סניף אשדוד
he-0074,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:95,string,no,עיר
he-0075,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:101,jsx_text,no,— בחר/י עיר —
he-0076,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:103,string,no,ערים שכבר נוספו
he-0077,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:110,string,no,ערים בישראל
he-0078,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:116,jsx_text,no,➕ הוסף עיר חדשה...
he-0079,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:123,string,no,שם העיר החדשה
he-0080,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:127,string,no,כתובת (לא חובה)
he-0081,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:131,string,no,רחוב ומספר
he-0082,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:139,jsx_text,no,צור סניף
he-0083,component:admin/BranchesPanel,src/components/admin/BranchesPanel.tsx:142,jsx_text,no,המערכת תומכת בפריסה ארצית ללא הגבלת סניפים וערים
he-0084,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:9,string,no,ליד חדש
he-0085,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:9,string,no,נוצר קשר
he-0086,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:9,string,no,חסרים מסמכים
he-0087,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:10,string,no,ממתין
he-0088,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:10,string,no,שובץ
he-0089,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:10,string,no,פעיל
he-0090,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:11,string,no,סיים
he-0091,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:11,string,no,לא פעיל
he-0092,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:11,string,no,נכשל
he-0093,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:29,string,no,נשמר
he-0094,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:34,string,no,נמחק
he-0095,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:39,string,no,ללא מרצה
he-0096,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:45,jsx_text,no,עיר חדשה
he-0097,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:50,jsx_text,no,אין ערים — הוסף עיר ראשונה
he-0098,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:65,jsx_text,no,כיתות ·
he-0099,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:65,jsx_text,no,תלמידים
he-0100,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:71,string,no,למחוק עיר?
he-0101,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:79,jsx_text,no,אין כיתות בעיר זו
he-0102,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:80,jsx_text,no,פתח כיתה חדשה
he-0103,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:99,jsx_text,no,מרצה:
he-0104,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:99,string,no,ללא מערכת
he-0105,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:110,jsx_text,no,אין תלמידים בכיתה. שייך תלמידים מהמסך
he-0106,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:110,jsx_text,no,תלמידים
he-0107,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:142,string,no,עריכת עיר
he-0108,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:142,string,no,עיר חדשה
he-0109,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:143,string,no,שם חובה
he-0110,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:145,jsx_text,no,שם באנגלית *
he-0111,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:149,jsx_text,no,שם בעברית
he-0112,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:153,jsx_text,no,ביטול
he-0113,component:admin/CitiesPanel,src/components/admin/CitiesPanel.tsx:154,jsx_text,no,שמור
he-0114,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:22,string,no,נשמר
he-0115,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:27,string,no,נמחק
he-0116,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:33,string,no,עודכן
he-0117,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:50,jsx_text,no,כיתה חדשה
he-0118,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:54,string,no,"טוען כיתות, ערים, מרצים ותלמידים…"
he-0119,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:55,jsx_text,no,טעינת הנתונים נכשלה:
he-0120,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:69,string,no,למחוק כיתה?
he-0121,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:73,jsx_text,no,מרצה:
he-0122,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:74,jsx_text,no,שעות:
he-0123,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:75,jsx_text,no,קיבולת:
he-0124,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:81,jsx_text,no,תלמידים משויכים (
he-0125,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:87,jsx_text,no,הוסף תלמיד
he-0126,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:91,jsx_text,no,אין תלמידים משויכים
he-0127,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:98,template,no,להסיר את ${s.full_name} מהכיתה?
he-0128,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:100,string,no,הסר מהכיתה
he-0129,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:112,jsx_text,no,אין כיתות
he-0130,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:118,string,no,עריכת כיתה
he-0131,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:118,string,no,כיתה חדשה
he-0132,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:119,string,no,שם חובה
he-0133,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:121,jsx_text,no,שם הכיתה *
he-0134,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:125,jsx_text,no,עיר
he-0135,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:132,jsx_text,no,מרצה משויך
he-0136,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:140,jsx_text,no,שעות / מערכת
he-0137,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:144,jsx_text,no,קיבולת
he-0138,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:149,jsx_text,no,ביטול
he-0139,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:150,jsx_text,no,שמור
he-0140,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:160,jsx_text,no,הוספת תלמיד לכיתה
he-0141,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:164,jsx_text,no,כל התלמידים כבר משויכים לכיתה
he-0142,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:177,jsx_text,no,שייך
he-0143,component:admin/ClassesPanel,src/components/admin/ClassesPanel.tsx:185,jsx_text,no,סגור
he-0144,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:20,string,no,נשמר
he-0145,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:25,string,no,נמחק
he-0146,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:29,string,no,כל הכיתות
he-0147,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:37,jsx_text,no,מבחן חדש
he-0148,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:41,string,no,טוען מבחנים וכיתות מהמסד…
he-0149,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:42,jsx_text,no,טעינת הנתונים נכשלה:
he-0150,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:45,jsx_text,no,אין מבחנים. צור מבחן ראשון.
he-0151,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:58,string,no,פורסם
he-0152,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:58,string,no,טיוטה
he-0153,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:63,jsx_text,no,ערוך שאלות
he-0154,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:64,jsx_text,no,פרטים
he-0155,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:65,string,no,למחוק?
he-0156,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:74,string,no,עריכת מבחן
he-0157,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:74,string,no,מבחן חדש
he-0158,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:75,string,no,כותרת חובה
he-0159,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:77,jsx_text,no,כותרת *
he-0160,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:81,jsx_text,no,תיאור
he-0161,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:85,jsx_text,no,משויך לכיתה
he-0162,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:87,jsx_text,no,— לכל הכיתות —
he-0163,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:93,jsx_text,no,פרסם לתלמידים
he-0164,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:96,jsx_text,no,ביטול
he-0165,component:admin/ExamsListPanel,src/components/admin/ExamsListPanel.tsx:97,jsx_text,no,שמור
he-0166,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:16,string,no,שם
he-0167,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:22,string,no,חסר שם
he-0168,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:23,string,no,אימייל לא תקין
he-0169,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:44,string,no,"full_name,email\nחיים כהן,haim@example.com\nשרה לוי,sara@example.com\n"
he-0170,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:59,string,no,בחר כיתה
he-0171,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:60,string,no,אין שורות תקינות
he-0172,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:65,template,no,"נוספו ${(res as any).success}, נכשלו ${(res as any).failed}"
he-0173,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:68,string,no,ייבוא נכשל
he-0174,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:78,jsx_text,no,ייבוא תלמידים מ-CSV
he-0175,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:84,jsx_text,no,בחר כיתה (כל התלמידים יוקצו אליה) *
he-0176,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:86,jsx_text,no,— בחר כיתה —
he-0177,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:93,jsx_text,no,בחר קובץ CSV
he-0178,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:97,jsx_text,no,הורד תבנית CSV
he-0179,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:99,jsx_text,no,"פורמט: full_name,email"
he-0180,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:105,jsx_text,no,סך הכל:
he-0181,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:105,jsx_text,no,· תקינים:
he-0182,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:105,jsx_text,no,· שגויים:
he-0183,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:110,jsx_text,no,שם
he-0184,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:110,jsx_text,no,אימייל
he-0185,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:110,jsx_text,no,סטטוס
he-0186,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:120,jsx_text,no,תקין
he-0187,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:133,jsx_text,no,הצלחה:
he-0188,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:133,jsx_text,no,· כישלונות:
he-0189,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:138,jsx_text,no,שם
he-0190,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:138,jsx_text,no,אימייל
he-0191,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:138,jsx_text,no,תוצאה
he-0192,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:147,jsx_text,no,נוסף
he-0193,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:159,jsx_text,no,סגור
he-0194,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:162,string,no,מייבא…
he-0195,component:admin/ImportStudentsModal,src/components/admin/ImportStudentsModal.tsx:162,template,no,ייבא ${valid.length} תלמידים
he-0196,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:22,string,no,נשמר
he-0197,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:27,string,no,נמחק
he-0198,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:36,string,no,קובץ הועלה
he-0199,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:37,string,no,העלאה נכשלה
he-0200,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:51,jsx_text,no,חומרי לימוד
he-0201,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:52,jsx_text,no,חומרי העשרה
he-0202,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:55,jsx_text,no,חומר חדש
he-0203,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:59,string,no,טוען חומרי לימוד וכיתות מהמסד…
he-0204,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:60,jsx_text,no,טעינת הנתונים נכשלה:
he-0205,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:63,jsx_text,no,אין חומרים. הוסף חומר ראשון.
he-0206,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:73,string,no,פתיחת הקובץ נכשלה
he-0207,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:87,string,no,למחוק?
he-0208,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:90,jsx_text,no,פתח →
he-0209,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:99,string,no,עריכת חומר
he-0210,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:99,string,no,חומר חדש
he-0211,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:100,string,no,כותרת חובה
he-0212,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:102,jsx_text,no,כותרת *
he-0213,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:106,jsx_text,no,תיאור
he-0214,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:111,jsx_text,no,קטגוריה
he-0215,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:113,jsx_text,no,חומרי לימוד
he-0216,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:114,jsx_text,no,חומרי העשרה
he-0217,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:118,jsx_text,no,סוג
he-0218,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:121,jsx_text,no,תמונה
he-0219,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:122,jsx_text,no,קישור
he-0220,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:123,jsx_text,no,וידאו
he-0221,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:129,jsx_text,no,קובץ
he-0222,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:129,string,no,(קיים)
he-0223,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:131,jsx_text,no,מעלה…
he-0224,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:137,jsx_text,no,קישור חיצוני
he-0225,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:142,jsx_text,no,משויך לכיתה (אופציונלי)
he-0226,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:144,jsx_text,no,— לכל הכיתות —
he-0227,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:149,jsx_text,no,ביטול
he-0228,component:admin/MaterialsPanel,src/components/admin/MaterialsPanel.tsx:150,jsx_text,no,שמור
he-0229,component:diagnostics/BiometricConsentScreen,src/components/diagnostics/BiometricConsentScreen.tsx:66,string,yes,שמירת ההסכמה נכשלה
he-0230,lib:admin-users.functions,src/lib/admin-users.functions.ts:80,string,no,אימייל כבר קיים
he-0231,lib:admin-users.functions,src/lib/admin-users.functions.ts:126,string,no,שגיאה
he-0232,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:134,template,no,אתה סוכן AI של Haile Drive AI — מערכת הכשרת נהגים מהקהילה האתיופית.
he-0233,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:135,template,no,"אתה עוזר לבני אספה, המייסד והמנכ""ל, לנהל את המערכת."
he-0234,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:136,template,no,"ענה תמיד בעברית. היה ישיר, מקצועי, ממוקד נתונים."
he-0235,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:137,template,no,"כשיש נתונים — הצג אותם בצורה ברורה (רשימות, מספרים, אחוזים)."
he-0236,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:138,template,no,"המספרים חשובים — תמיד ציין כמה מועמדים, כמה השלימו, כמה נשרו."
he-0237,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:139,template,no,"אם המשתמש מבקש לבצע פעולת כתיבה (עדכון/מחיקה/יצירה) — הסבר בקצרה איך לעשות זאת בפאנל המתאים, אך אל תבצע בעצמך."
he-0238,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:140,template,no,אל תמציא מספרים — השתמש רק בנתוני ה-SNAPSHOT שמסופקים לך.
he-0239,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:141,template,no,"חשוב להבחין: ""כיתה"" (class_name) הוא שם הקבוצה (למשל ""אוטובוס מתחילים""), ו""נושא שיעור"" (lesson_topic) הוא הכותרת של אירוע יחיד (למשל ""מבוא לתאוריה""). אל תבלבל ביניהם — תמיד הצג שניהם בפורמט: ""[שם הכיתה] — [נושא השיעור] | [תאריך] | [שעה]""."
he-0240,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:164,template,no,"${SYSTEM}\n\nSNAPSHOT (נתונים חיים מהמערכת, JSON):\n${JSON.stringify(snapshot)}"
he-0241,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:190,template,no,אתה המרצה הראשי ומנהל הלוקליזציה של Haile Drive AI.
he-0242,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:191,template,no,תפקידך: לקבל חומרי לימוד בעברית ולהפוך אותם לחומר מקצועי באמהרית עבור נהגי אוטובוס ומשאיות.
he-0243,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:193,template,no,כשבני מעלה חומר — בצע בסדר קשיח:
he-0244,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:195,template,no,שלב 1 — תרגום לאמהרית:
he-0245,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:196,template,no,"- תרגם לאמהרית רשמית, ברורה ופדגוגית"
he-0246,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:197,template,no,- מונחים טכניים: כתוב באמהרית + (מונח עברי/אנגלי) בסוגריים
he-0247,lib:ai-agent.functions,src/lib/ai-agent.functions.ts:198,template,no,- דוגמה: የማቆሚያ ርቀት (מרחק עצירה) | የምላሽ ጊዜ (זמן תגובה)
